2022-01-10,bought chips,Groceries,EXPENDITURE,5.55,123
2022-01-12,paid for car,Transportation,EXPENDITURE,500.0,123
2022-01-15,paycheck amazon,Paycheck,INCOME,1000.0,123
2022-02-05,kroger groceries,Groceries,EXPENDITURE,100.0,123
2022-02-10,Movies with jim,Personal,EXPENDITURE,35.0,123
2022-02-15,Netflix payment,Subscriptions,EXPENDITURE,15.0,123
2022-02-25,Birthday gift from grandma,Gift,INCOME,500.0,123
2022-03-01,CryptoInvestment,Investments,EXPENDITURE,100.0,123
2022-03-15,Water bill,Utilities,EXPENDITURE,100.0,123
2022-03-17,ER visit,Medical,EXPENDITURE,50.0,123
2022-05-30,drinks,Groceries,EXPENDITURE,24.25,123
